#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)
MT782071	169.453
AP019417	50.628
MW388004	169.15
MW393850	60.789
MW448541	91.725
MW448540	91.725
MW448539	91.725
MW132714	109.901
MW132713	43.366
MW286157	165.973
MW286156	47.915
MW366784	41.264
MW348917	26.319
MW331544	43.157
MW325771	170.126
MW291508	39.44
MW248466	266.637
MW239157	165.894
MW114771	59.428
MW023914	42.787
MT949699	169.176
MW406976	43.113
MW406975	43.005
MW423739	16.687
MW423738	18.896
MW423737	23.061
MW358931	38.838
MW358930	43.106
MW358929	41.059
MW358928	39.396
MW358927	167.162
MW296032	89.5
MT944117	152.343
MT740748	40.153
MT380195	113.227
MT002874	46.49
MT899444	37.601
MT899443	31.505
MT135176	43.329
MN929097	44.691
MN917146	93.03
MN087708	172.763
MK610268	40.286
MW272540	230.916
MW343794	75.106
MW239124	168.463
MW334946	45.087
MW296865	88.041
MW009675	40.065
MW233709	169.801
MT975991	5.859
MT653137	42.781
MT161459	218.317
NC_014459	59.798
NC_028803	69.118
NC_028681	68.367
NC_018838	29.505
NC_018834	29.214
NC_015584	75.96
NC_014461	73.453
NC_014458	59.598
NC_013694	51.376
NC_013650	155.445
NC_011057	68.09
MK455770	44.965
MW273926	34.069
MW273925	34.938
MW273924	34.606
MW273923	36.066
MW273922	35.45
MW273921	36.388
MW273920	35.448
MW269554	59.489
MW281503	164.822
MW302330	79.842
MW021758	275.554
MW021756	177.494
MW021748	49.802
MW021768	38.609
MW021767	38.609
MW021766	41.293
MW021765	52.866
MW021764	51.895
MW021763	42.495
MW021762	50.713
MW021761	38.613
MW021760	160.559
MW021759	67.493
MW021757	157.255
MW021755	42.052
MW021754	157.832
MW021753	156.899
MW021752	166.829
MW021751	177.882
MW021750	49.439
MW021749	178.331
MW001214	138.741
MT863731	131.645
MT863730	131.642
MT863729	131.465
MT863728	132.743
MT863727	132.742
MT863726	131.924
MT863725	131.922
MT863724	131.925
MT863723	131.889
MT863722	131.919
MT863721	131.926
MT863720	131.922
MT863719	133.731
MT863718	133.67
MT863717	131.638
MT863716	131.681
MT863715	131.195
MT863714	130.779
MW055915	54.468
MW055914	53.929
MW055913	63.364
MW055912	57.724
MW055911	41.331
MW055910	44.111
MW055909	17.176
MW055908	44.73
MW055907	17.363
MW055906	71.061
MW055905	56.119
MW055904	52.593
MW055903	56.087
MW055902	47.149
MW055901	45.508
NC_050154	91.159
NC_050153	80.732
NC_050152	101.66
NC_050151	66.295
NC_050150	65.852
NC_050149	65.918
NC_050148	66.657
NC_050147	65.68
NC_050146	65.629
NC_050145	65.554
NC_050144	65.797
NC_050143	60.746
NC_049977	102.679
NC_049976	18.753
NC_049975	18.379
NC_049974	21.781
NC_049973	20.784
NC_049972	18.932
NC_049971	18.466
NC_049970	20.083
NC_049969	26.865
NC_049968	26.357
NC_049967	27.18
NC_049966	25.722
NC_049965	19.105
NC_049964	26.061
NC_049963	25.032
NC_049962	27.206
NC_049961	21.054
NC_049960	21.684
NC_049959	26.054
NC_049955	45.56
NC_049954	47.142
NC_049953	47.224
NC_049952	48.763
NC_049951	41.969
NC_049950	46.288
NC_049949	46.685
NC_049948	50.126
NC_049946	49.168
NC_049945	57.849
NC_049944	55.023
NC_049943	57.248
NC_049942	57.198
NC_049941	58.326
NC_049940	18.415
NC_049939	18.818
NC_049938	17.927
NC_049937	18.168
NC_049936	18.286
NC_049935	18.186
NC_049934	18.737
NC_049933	18.136
NC_049932	17.966
NC_049931	18.838
NC_049930	18.742
NC_049929	41.793
NC_049928	41.67
NC_049927	42.562
NC_049926	40.469
NC_049925	61.58
NC_049924	64.9
NC_049923	56.224
NC_049922	62.822
NC_049921	57.123
NC_049920	58.371
NC_049919	61.564
NC_049918	62.02
NC_049917	62.668
NC_049900	40.298
NC_049857	123.023
NC_049856	132.949
NC_049855	128.179
NC_049854	125.658
NC_049847	49.916
NC_049839	50.241
NC_049853	49.89
NC_049852	51.643
NC_049851	262.653
NC_049850	263.735
NC_049849	221.431
NC_049848	49.835
NC_049846	49.045
NC_049845	49.477
NC_049844	43.094
NC_049843	37.655
NC_049842	49.316
NC_049841	49.935
NC_049840	50.381
NC_049838	47.844
NC_049837	51.78
NC_049836	51.487
NC_049835	54.438
NC_049834	52.866
NC_049833	50.713
NC_049832	50.168
NC_049831	50.309
NC_049830	49.043
NC_049829	46.66
NC_049828	48.613
NC_049827	51.154
NC_049826	51.662
NC_049825	49.53
NC_049824	50.709
NC_049823	50.971
NC_049822	51.739
NC_049821	51.048
NC_049820	53.145
NC_049819	50.732
NC_049818	51.627
NC_049817	51.277
NC_049816	51.111
NC_049815	51.012
NC_049814	51.854
NC_049813	44.219
NC_049812	31.05
NC_049811	30.556
NC_049810	30.745
NC_049809	31.106
NC_049808	57.909
NC_049807	62.054
NC_049806	60.551
NC_049805	59.833
NC_023601	98.287
NC_049512	152.926
NC_049511	166.487
NC_049510	75.929
NC_049509	158.706
NC_049508	159.128
NC_049507	158.905
NC_049506	158.23
NC_049505	157.92
NC_049504	157.254
NC_049503	156.801
NC_049502	156.13
NC_049501	151.015
NC_049500	144.232
NC_049499	143.249
NC_049498	46.623
NC_049494	166.33
NC_049493	165.151
NC_049492	167.922
NC_049491	164.746
NC_049490	165.927
NC_049489	69.061
NC_049488	25.327
NC_049487	29.925
NC_049486	29.34
NC_049485	32.653
NC_049484	29.218
NC_049483	29.652
NC_049482	27.642
NC_049481	30.162
NC_049480	30.832
NC_049479	166.21
NC_049478	60.205
NC_049477	33.851
NC_049476	32.697
NC_049475	28.396
NC_049474	29.075
NC_049473	38.85
NC_049472	160.795
NC_049471	68.762
NC_049470	45.507
NC_049469	75.239
NC_049468	50.782
NC_049467	70.678
NC_049466	53.311
NC_049465	48.201
NC_049464	167.547
NC_049463	76.239
NC_049462	157.741
NC_049461	31.834
NC_049460	30.164
NC_049459	31.123
NC_049458	156.329
NC_049457	33.807
NC_049455	158.755
NC_049454	33.839
NC_049453	39.086
NC_049452	32.302
NC_049451	34.141
NC_049450	38.322
NC_049449	18.281
NC_049448	39.642
NC_049447	31.374
NC_049446	32.312
NC_049445	168.223
NC_049444	70.408
NC_049443	155.297
NC_049442	71.02
NC_049441	166.56
NC_049440	154.811
NC_049439	157.63
NC_049438	165.975
NC_049437	157.013
NC_049436	74.83
NC_049435	74.675
NC_049434	32.575
NC_049433	158.143
NC_049432	39.309
NC_049431	76.918
NC_049430	75.88
NC_049429	31.978
NC_049428	161.502
NC_049427	158.639
NC_049426	29.454
NC_049425	30.132
NC_049424	30.247
NC_049423	31.049
NC_049422	30.339
NC_049421	29.668
NC_049420	29.557
NC_049419	30.945
NC_049418	30.072
NC_049417	29.203
NC_049416	29.953
NC_049415	30.69
NC_049414	26.874
NC_049413	29.306
NC_049412	31.508
NC_049411	31.123
NC_049410	28.917
NC_049409	31.883
NC_049408	31.014
NC_049407	30.852
NC_049406	31.819
NC_049405	32.555
NC_049404	30.926
NC_049403	32.529
NC_049402	32.458
NC_049401	27.948
NC_049400	30.989
NC_049399	30.401
NC_049398	28.721
NC_049397	32.895
NC_049396	156.585
NC_049395	30.584
NC_049394	30.927
NC_049393	30.597
NC_049392	29.203
NC_049391	37.1
NC_049390	32.848
NC_049389	31.128
NC_049388	32.15
NC_049387	32.118
NC_049386	32.662
NC_049385	31.342
NC_049384	160.766
NC_049383	234.67
NC_049382	157.665
NC_049381	27.203
NC_049380	69.396
NC_049379	78.145
NC_049378	157.458
NC_049377	29.952
NC_049376	30.446
NC_049375	29.513
NC_049374	32.393
NC_049373	32.477
NC_049372	72.674
NC_049371	76.466
NC_049370	30.116
NC_049369	28.983
NC_049368	32.682
NC_049367	32.27
NC_049366	32.15
NC_049365	31.901
NC_049364	31.495
NC_049363	31.379
NC_049362	31.375
NC_049361	31.181
NC_049360	31.033
NC_049359	30.882
NC_049358	30.811
NC_049357	29.026
NC_049356	28.811
NC_049355	28.785
NC_049354	28.349
NC_049353	30.862
NC_049352	31.945
NC_049351	30.692
NC_049350	68.964
NC_049349	30.961
NC_049348	30.778
NC_049347	30.674
NC_049346	27.302
NC_049345	74.704
NC_049340	224.68
NC_048892	73.623
NC_048625	38.421
NC_048624	42.481
NC_048629	16.748
NC_048628	42.932
NC_048627	110.964
NC_048626	66.22
NC_048656	147.443
NC_048650	112.523
NC_048658	34.73
NC_048878	56.163
NC_048877	54.442
NC_048876	57.731
NC_048875	54.982
NC_048874	4.526
NC_048873	143.8
NC_048872	114.059
NC_048871	113.503
NC_048870	112.477
NC_048869	112.117
NC_048868	112.006
NC_048867	110.183
NC_048866	109.539
NC_048865	109.372
NC_048864	52.767
NC_048863	52.464
NC_048862	11.569
NC_048861	90.71
NC_048860	53.692
NC_048859	18.899
NC_048858	18.635
NC_048857	121.04
NC_048856	119.416
NC_048855	118.118
NC_048854	45.385
NC_048853	116.606
NC_048852	118.452
NC_048851	77.221
NC_048850	56.391
NC_048849	174.924
NC_048848	31.118
NC_048847	92.76
NC_048845	52.092
NC_048844	36.912
NC_048843	40.542
NC_048842	38.502
NC_048841	39.365
NC_048840	38.214
NC_048839	38.134
NC_048838	38.501
NC_048837	38.527
NC_048836	38.385
NC_048835	38.268
NC_048834	43.236
NC_048833	39.039
NC_048832	39.262
NC_048831	38.028
NC_048830	34.711
NC_048829	34.751
NC_048828	148.842
NC_048827	148.18
NC_048826	68.155
NC_048825	60.531
NC_048824	71.538
NC_048823	61.623
NC_048822	60.278
NC_048821	237.509
NC_048820	77.514
NC_048819	110.775
NC_048818	108.64
NC_048817	59.727
NC_048816	60.978
NC_048815	67.485
NC_048814	67.813
NC_048813	66.892
NC_048812	67.785
NC_048811	111.636
NC_048810	61.544
NC_048809	114.986
NC_048808	111.039
NC_048807	147.321
NC_048806	65.69
NC_048805	57.805
NC_048804	159.961
NC_048803	53.392
NC_048802	159.365
NC_048801	53.981
NC_048800	68.745
NC_048799	52.329
NC_048798	168.532
NC_048797	161.583
NC_048796	73.168
NC_048795	110.466
NC_048794	109.654
NC_048793	60.899
NC_048792	273.933
NC_048791	44.104
NC_048790	45.644
NC_048789	42.846
NC_048788	56.714
NC_048787	44.381
NC_048786	107.763
NC_048785	114.855
NC_048784	49.66
NC_048783	77.394
NC_048782	43.943
NC_048781	112.513
NC_048780	45.751
NC_048779	238.099
NC_048778	54.396
NC_048777	53.932
NC_048776	97.988
NC_048775	97.408
NC_048774	101.39
NC_048773	102.915
NC_048772	124.279
NC_048771	138.69
NC_048770	115.893
NC_048769	122.963
NC_048768	76.261
NC_048767	49.935
NC_048766	49.99
NC_048765	144.685
NC_048764	53.494
NC_048763	52.438
NC_048762	49.952
NC_048761	54.307
NC_048760	114.08
NC_048759	68.621
NC_048758	62.853
NC_048757	145.4
NC_048756	146.618
NC_048755	159.862
NC_048754	136.608
NC_048753	140.816
NC_048752	136.442
NC_048751	74.71
NC_048750	61.343
NC_048749	60.218
NC_048748	120.12
NC_048747	242.446
NC_048746	76.485
NC_048745	66.086
NC_048744	65.905
NC_048743	70.03
NC_048742	128.338
NC_048741	145.127
NC_048740	19.428
NC_048739	19.679
NC_048738	18.212
NC_048737	40.721
NC_048736	159.398
NC_048735	58.528
NC_048734	69.66
NC_048733	54.473
NC_048732	58.197
NC_048731	109.515
NC_048730	131.25
NC_048729	58.078
NC_048728	129.015
NC_048727	58.476
NC_048726	153.268
NC_048725	42.248
NC_048724	131.909
NC_048723	133.195
NC_048722	133.007
NC_048721	133.886
NC_048720	130.473
NC_048719	125.726
NC_048718	38.526
NC_048717	38.675
NC_048716	37.947
NC_048715	40.769
NC_048714	43.126
NC_048713	42.735
NC_048712	19.046
NC_048711	43.184
NC_048710	43.504
NC_048709	147.89
NC_048708	46.807
NC_048707	17.961
NC_048706	46.133
NC_048705	57.742
NC_048704	74.509
NC_048703	76.335
NC_048702	164.037
NC_048701	40.847
NC_048700	73.679
NC_048699	66.095
NC_048698	41.82
NC_048697	74.895
NC_048696	68.869
NC_048695	76.008
NC_048694	170.764
NC_048693	39.778
NC_048692	42.276
NC_048691	37.88
NC_048690	40.035
NC_048689	40.611
NC_048688	39.485
NC_048687	47.82
NC_048686	46.094
NC_048685	45.177
NC_048684	45.221
NC_048683	59.715
NC_048682	145.759
NC_048681	38.576
NC_048680	44.26
NC_048679	47.866
NC_048678	48.288
NC_048677	145.162
NC_048676	65.847
NC_048675	66.189
NC_048674	230.024
NC_048673	229.929
NC_048672	40.163
NC_048671	40.907
NC_048670	59.1
NC_048669	46.854
NC_048668	276.025
NC_048667	36.278
NC_048666	58.916
NC_048665	32.651
NC_048664	92.122
NC_048663	65.737
NC_048662	65.415
NC_048661	19.089
NC_048660	144.974
NC_048659	75.764
NC_048657	43.516
NC_048655	59.097
NC_048654	76.621
NC_048653	76.041
NC_048652	156.43
NC_048651	51.606
NC_048649	54.894
NC_048648	59.132
NC_048646	181.57
NC_048645	177.907
NC_048644	43.922
NC_048643	50.605
NC_048642	49.822
NC_048641	43.223
NC_048640	50.74
NC_048639	70.774
NC_048638	69.844
NC_048637	139.1
NC_048636	42.282
NC_048635	40.448
NC_048634	41.96
NC_048633	44.696
NC_048632	55.391
NC_048631	39.318
NC_042139	40.353
NC_047757	85.138
NC_048024	49.292
NC_048208	46.553
NC_048207	75.687
NC_048206	50.343
NC_048205	107.601
NC_048204	50.343
NC_048203	115.471
NC_048202	50.865
NC_048200	40.466
NC_048199	27.548
NC_048198	47.116
NC_048197	46.835
NC_048196	151.194
NC_048195	72.472
NC_048194	71.283
NC_048193	61.6
NC_048192	43.029
NC_048191	80.361
NC_048190	84.608
NC_048189	80.342
NC_048188	81.92
NC_048187	82.744
NC_048186	158.607
NC_048185	50.187
NC_048183	41.824
NC_048182	276.734
NC_048181	44.851
NC_048180	40.058
NC_048179	53.965
NC_048178	41.912
NC_048177	42.291
NC_048176	122.563
NC_048175	40.599
NC_048174	43.63
NC_048173	223.95
NC_048172	43.264
NC_048171	45.424
NC_048170	237.307
NC_048169	91.51
NC_048168	43.446
NC_048166	88.403
NC_048165	54.579
NC_048164	32.448
NC_048163	39.536
NC_048162	49.427
NC_048161	39.695
NC_048160	16.159
NC_048159	17.034
NC_048158	9.368
NC_048157	9.296
NC_048156	9.944
NC_048155	41.267
NC_048154	41.578
NC_048153	36.213
NC_048152	61.073
NC_048151	113.76
NC_048150	50.414
NC_048149	112.496
NC_048148	41.024
NC_048147	61.83
NC_048146	55.119
NC_048145	110.377
NC_048144	38.82
NC_048143	49.106
NC_048142	40.898
NC_048141	53.215
NC_048140	36.776
NC_048139	83.219
NC_048138	40.352
NC_048137	51.17
NC_048136	39.793
NC_048134	142.567
NC_048133	30.791
NC_048132	50.91
NC_048131	41.059
NC_048130	41.219
NC_048129	40.236
NC_048128	38.091
NC_048127	31.324
NC_048126	49.861
NC_048125	71.992
NC_048124	71.915
NC_048123	44.168
NC_048122	72.305
NC_048121	72.29
NC_048120	43.724
NC_048119	43.825
NC_048118	43.402
NC_048117	44.013
NC_048116	43.31
NC_048115	45.803
NC_048114	40.539
NC_048113	41.126
NC_048112	42.042
NC_048111	41.823
NC_048110	111.851
NC_048109	37.152
NC_048108	39.648
NC_048107	17.7
NC_048106	139.069
NC_048105	39.688
NC_048103	44.716
NC_048102	158.485
NC_048101	42.363
NC_048100	38.449
NC_048099	38.317
NC_048098	38.802
NC_048097	43.206
NC_048096	44.103
NC_048095	43.44
NC_048094	41.165
NC_048093	42.577
NC_048092	43.706
NC_048091	43.113
NC_048090	39.928
NC_048089	114.275
NC_048088	48.195
NC_048087	152.77
NC_048086	104.41
NC_048085	140.527
NC_048084	137.973
NC_048083	56.214
NC_048082	38.396
NC_048081	42.067
NC_048080	102.789
NC_048079	39.551
NC_048078	39.266
NC_048077	255.356
NC_048076	42.33
NC_048075	104.354
NC_048074	103.628
NC_048073	68.472
NC_048072	40.725
NC_048071	40.06
NC_048070	41.394
NC_048069	44.609
NC_048068	61.703
NC_048067	41.775
NC_048066	32.014
NC_048065	49.665
NC_048064	45.185
NC_048063	39.382
NC_048062	114.274
NC_048061	42.818
NC_048060	40.651
NC_048059	40.729
NC_048058	43.686
NC_048057	40.441
NC_048056	44.364
NC_048055	41.344
NC_048054	261.658
NC_048053	253.323
NC_048052	40.131
NC_048049	181.082
NC_048048	317.488
NC_048047	322.272
NC_048046	308.141
NC_048045	220.934
NC_048044	49.468
NC_048043	50.132
NC_048042	49.344
NC_048041	112.106
NC_048040	53.085
NC_048039	55.668
NC_048038	41.706
NC_048037	37.311
NC_048036	43.571
NC_048035	43.237
NC_048029	43.077
NC_048028	68.389
NC_048027	67.234
NC_048026	45.477
NC_048025	40.387
NC_048023	39.747
NC_048022	30.93
NC_048021	90.49
NC_048020	52.992
NC_048019	51.265
NC_048018	52.195
NC_048017	40.833
NC_048016	244.95
NC_048015	176.495
NC_048014	39.906
NC_048013	112.564
NC_048012	111.447
NC_048011	110.926
NC_048010	116.832
NC_048009	110.091
NC_048008	111.999
NC_048007	110.664
NC_048006	110.926
NC_048005	112.582
NC_048004	38.821
NC_048003	72.821
NC_048002	39.883
NC_048001	109.306
NC_048000	111.601
NC_047999	111.607
NC_047998	50.403
NC_047997	40.914
NC_047996	49.372
NC_047995	266.532
NC_047994	150.925
NC_047993	53.549
NC_047992	47.921
NC_047991	43.758
NC_047990	67.118
NC_047989	54.189
NC_047988	54.148
NC_047987	55.572
NC_047986	56.708
NC_047985	49.788
NC_047984	39.825
NC_047983	43.416
NC_047982	39.628
NC_047981	40.184
NC_047979	101.665
NC_047978	54.065
NC_047977	97.757
NC_047976	52.935
NC_047975	62.312
NC_047974	53.912
NC_047973	61.769
NC_047972	38.684
NC_047971	40.337
NC_047970	40.54
NC_047969	41.161
NC_047968	40.635
NC_047967	42.75
NC_047966	42.696
NC_047965	40.822
NC_047964	39.699
NC_047963	40.552
NC_047962	61.939
NC_047961	40.484
NC_047960	50.048
NC_047959	50.354
NC_047958	42.25
NC_047957	45.756
NC_047956	46.585
NC_047955	45.779
NC_047954	46.644
NC_047953	44.205
NC_047952	43.337
NC_047951	42.085
NC_047950	115.739
NC_047949	112.558
NC_047948	149.229
NC_047947	51.818
NC_047946	41.297
NC_047945	142.978
NC_047944	45.135
NC_047943	15.01
NC_047942	39.752
NC_047941	41.832
NC_047940	38.288
NC_047939	37.714
NC_047937	40.075
NC_047936	40.694
NC_047935	38.391
NC_047934	39.034
NC_047933	43.184
NC_047932	156.801
NC_047931	78.646
NC_047930	41.135
NC_047929	43.036
NC_047928	11.648
NC_047927	38.823
NC_047926	139.45
NC_047925	79.221
NC_047924	141.124
NC_047923	39.482
NC_047922	40.923
NC_047921	76.889
NC_047920	44.349
NC_047919	17.603
NC_047918	81.076
NC_047917	45.495
NC_047916	58.391
NC_047915	54.725
NC_047914	54.286
NC_047913	36.636
NC_047912	34.075
NC_047911	48.211
NC_047910	49.573
NC_047909	61.716
NC_047908	40.945
NC_047907	50.249
NC_047906	42.89
NC_047905	41.872
NC_047904	42.551
NC_047903	44.603
NC_047902	87.196
NC_047901	157.281
NC_047900	159.631
NC_047899	44.895
NC_047898	50.316
NC_047897	78.891
NC_047895	39.919
NC_047894	47.868
NC_047893	45.814
NC_047892	77.354
NC_047891	54.867
NC_047890	42.686
NC_047889	44.784
NC_047888	40.657
NC_047887	106.185
NC_047886	40.142
NC_047885	120.622
NC_047884	121.986
NC_047882	111.671
NC_047881	113.299
NC_047880	261.365
NC_047879	60.16
NC_047878	60.332
NC_047877	62.03
NC_047876	59.779
NC_047875	39.902
NC_047874	39.195
NC_047873	39.215
NC_047872	136.468
NC_047871	136.589
NC_047870	45.962
NC_047869	43.619
NC_047868	46.486
NC_047867	38.202
NC_047866	42.167
NC_047865	42.439
NC_047864	38.209
NC_047863	50.552
NC_047862	42.518
NC_047861	94.005
NC_047860	44.638
NC_047859	117.842
NC_047858	44.601
NC_047857	44.024
NC_047855	17.602
NC_047854	28.765
NC_047853	142.072
NC_047852	42.351
NC_047851	50.774
NC_047850	49.807
NC_047849	43.012
NC_047848	47.647
NC_047847	48.262
NC_047846	45.175
NC_047845	45.423
NC_047844	39.216
NC_047843	39.064
NC_047842	40.048
NC_047841	49.09
NC_047840	44.597
NC_047839	120.295
NC_047838	204.93
NC_047836	45.385
NC_047835	110.901
NC_047834	47.631
NC_047833	30.413
NC_047832	37.287
NC_047831	38.67
NC_047830	53.092
NC_047829	39.693
NC_047828	49.088
NC_047827	40.491
NC_047826	40.214
NC_047825	50.526
NC_047824	54.319
NC_047823	50.339
NC_047822	107.263
NC_047821	44.245
NC_047820	50.8
NC_047819	39.906
NC_047818	33.54
NC_047817	35.1
NC_047816	43.211
NC_047815	259.7
NC_047814	18.275
NC_047813	18.546
NC_047812	44.234
NC_047811	44.094
NC_047810	46.717
NC_047809	37.775
NC_047808	39.3
NC_047807	44.97
NC_047806	44.018
NC_047805	42.771
NC_047804	42.042
NC_047803	43.121
NC_047802	44.609
NC_047799	40.163
NC_047798	41.116
NC_047796	155.053
NC_047795	40.785
NC_047794	39.522
NC_047793	38.411
NC_047792	37.817
NC_047791	53.333
NC_047790	35.209
NC_047789	39.79
NC_047788	18.023
NC_047787	42.641
NC_047786	53.263
NC_047785	50.552
NC_047784	51.099
NC_047783	44.623
NC_047782	41.335
NC_047781	41.697
NC_047780	40.605
NC_047779	43.557
NC_047778	41.841
NC_047777	40.291
NC_047776	149.312
NC_047775	32.826
NC_047774	39.631
NC_047773	41.283
NC_047772	40.395
NC_047771	40.765
NC_047770	149.813
NC_047769	44.559
NC_047767	139.681
NC_047766	38.89
NC_047764	73.787
NC_047763	32.813
NC_047762	44.862
NC_047761	41.31
NC_047760	79.099
NC_047759	43.872
NC_047758	44.539
NC_047756	80.297
NC_047755	39.21
NC_047754	103.737
NC_047753	35.203
NC_047752	36.499
NC_047751	38.731
NC_047750	36.745
NC_047749	108.418
NC_047748	43.865
NC_047747	40.525
NC_047746	44.541
NC_047745	135.764
NC_047744	151.419
NC_047743	42.409
NC_047742	41.51
NC_047741	46.318
NC_047740	43.017
NC_047739	80.617
NC_047738	43.444
NC_047737	42.542
NC_047736	162.598
NC_047735	154.371
NC_047734	197.45
NC_047733	171.216
NC_047732	141.028
NC_047731	139.75
NC_047730	140.906
NC_047729	140.218
NC_047728	145.542
NC_047727	147.59
NC_047726	148.243
NC_047725	148.481
NC_047724	148.564
NC_047723	141.018
NC_047722	145.647
NC_047721	137.031
NC_047720	138.339
NC_047719	172.874
NC_047718	154.99
NC_047717	175.559
NC_047716	175.557
NC_047715	174.67
NC_047714	196.842
NC_047713	223.27
NC_047712	216.628
NC_007636	39.699
NC_004927	75.898
NC_003345	77.672
NC_044940	48.659
NC_031005	29.338
NC_027623	29.324
NC_043469	51.543
NC_043027	252.197
NC_042564	14.504
NC_019524	60.496
NC_042355	43.193
NC_042354	44.53
NC_042353	50.672
NC_042352	51.889
NC_042351	53.197
NC_042350	35.099
NC_042349	53.812
NC_042348	35.883
NC_042346	40.525
NC_042345	55.601
NC_042344	56.147
NC_042343	43.895
NC_042342	65.27
NC_042341	51.235
NC_042340	50.645
NC_042339	51.5
NC_042338	61.567
NC_042337	52.494
NC_042336	55.363
NC_042335	49.228
NC_042334	48.963
NC_042333	50.965
NC_042332	59.749
NC_042331	51.083
NC_042330	51.702
NC_042329	50.988
NC_042328	50.364
NC_042327	53.171
NC_042326	51.381
NC_042325	61.147
NC_042324	51.426
NC_042323	57.278
NC_042322	109.086
NC_042321	50.486
NC_042320	52.169
NC_042319	55.6
NC_042318	51.889
NC_042317	58.899
NC_042316	111.688
NC_042315	56.719
NC_042314	51.339
NC_042313	74.914
NC_042312	51.578
NC_042311	50.864
NC_042310	50.877
NC_042309	52.213
NC_042308	51.308
NC_042140	165.213
NC_042138	175.206
NC_042137	41.308
NC_042136	236.053
NC_042134	41.257
NC_042133	146.698
NC_042132	61.67
NC_042131	44.549
NC_042130	167.298
NC_042129	167.467
NC_042128	115.154
NC_042127	40.836
NC_042126	40.789
NC_042125	40.934
NC_042124	39.964
NC_042123	52.856
NC_042122	51.894
NC_042121	10.584
NC_042120	61.437
NC_042119	39.307
NC_042118	39.403
NC_042117	39.64
NC_042116	354.378
NC_042114	19.741
NC_042113	93.848
NC_042112	132.454
NC_042111	41.525
NC_042110	41.934
NC_042109	40.366
NC_042108	58.842
NC_042107	45.058
NC_042106	56.341
NC_042105	127.084
NC_042104	41.651
NC_042103	45.936
NC_042102	45.909
NC_042101	41.489
NC_042100	237.722
NC_042099	41.593
NC_042098	272.458
NC_042097	87.609
NC_042096	84.916
NC_042095	128.602
NC_042094	128.241
NC_042093	111.103
NC_042092	67.498
NC_042091	112.225
NC_042090	104.329
NC_042089	42.475
NC_042088	44.408
NC_042087	66.392
NC_042086	67.743
NC_042085	67.383
NC_042084	44.829
NC_042083	16.523
NC_042082	96.542
NC_042081	279.696
NC_042080	66.789
NC_042079	66.291
NC_042078	168.112
NC_042077	166.002
NC_042076	90.092
NC_042075	87.575
NC_042074	111.671
NC_042067	171.911
NC_042066	51.092
NC_042065	41.873
NC_042063	13.598
NC_042062	41.391
NC_042061	157.235
NC_042060	266.743
NC_042058	48.491
NC_042057	42.925
NC_042056	241.654
NC_042055	43.679
NC_042054	92.816
NC_042053	70.265
NC_042052	50.727
NC_042051	49.562
NC_042050	67.277
NC_042049	35.985
NC_042048	138.036
NC_042047	154.938
NC_042046	47.319
NC_042045	60.237
NC_042044	159.323
NC_042043	49.579
NC_042042	43.06
NC_042041	47.76
NC_042040	139.262
NC_042039	166.283
